STATE,STUSAB,DATE,LATITUDE,LONGITUDE,POPULATION,NEWCONFIRMED,CUMCONFIRMED,NEWDEATHS,CUMDEATHS,STATEFP,GNISID,UID,CODE3
ALABAMA,AL,1/23/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,1/24/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,1/25/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,1/26/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,1/27/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,1/28/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,1/29/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,1/30/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,1/31/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/1/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/2/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/3/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/4/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/5/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/6/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/7/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/8/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/9/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/10/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/11/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/12/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/13/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/14/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/15/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/16/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/17/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,2/18/20,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
