STATE,LATITUDE,LONGITUDE,SQMI,STUSAB,DATE,EVENT_CATG_S,STATEFP,SCORE,SHORT_DESCRIPT,GNISID
ALABAMA,32.6990852,-86.74930056,50750,AL,03/19/2020,4SM,1,1,Closing: Restaurants and Bars,1779775
ALABAMA,32.89513557,-86.97042651,50750,AL,03/20/2020,3SM,1,1.5,"Restricting: Indoor Gathering Limit, 50 people",1779775
ALABAMA,32.8788144,-86.54330473,50750,AL,03/27/2020,2SM,1,2.5,Closing: All Non-Essential Businesses,1779775
ALABAMA,33.14635237,-86.85848152,50750,AL,04/03/2020,1SM,1,3.5,Restricting: Stay at Home Order,1779775
ALABAMA,32.6990852,-86.74930056,50750,AL,04/30/2020,1L,1,2.5,Lifting: Stay at Home Order,1779775
ALABAMA,32.89513557,-86.97042651,50750,AL,05/01/2020,2E,1,2.25,"Easing: Non-Essential Businesses, Retail",1779775
ALABAMA,32.8788144,-86.54330473,50750,AL,05/08/2020,2E,1,1.35,"Easing: Non-Essential Businesses, Hair Salons; Personal Care; Gyms",1779775
ALABAMA,33.14635237,-86.85848152,50750,AL,05/08/2020,3L,1,1.35,"Lifting: Indoor Gathering Limit, 50 People",1779775
ALABAMA,32.58006242,-86.48255744,50750,AL,05/11/2020,4E,1,0.65,Easing: Restaurants and Bars Indoor Service (50%),1779775
ALABAMA,32.54565373,-86.9496886,50750,AL,05/22/2020,2E,1,0.45,"Easing: Non-Essential Businesses, Entertainment",1779775
ALABAMA,32.6990852,-86.74930056,50750,AL,07/16/2020,15M,1,1.45,"Restricting: Mask Mandate, Indoor & Outdoor Spaces",1779775
ALABAMA,32.89513557,-86.97042651,50750,AL,07/27/2020,4R,1,1.5,"Restricting: Restaurants and Bars, Alcohol Curfew",1779775
ALABAMA,32.6990852,-86.74930056,50750,AL,09/29/2020,4E,1,1.45,"Easing: Restaurants and Bars, Alcohol Curfew Removal",1779775
ALABAMA,32.6990852,-86.74930056,50750,AL,11/05/2020,2E,1,1.2,"Easing: Non-Essential Businesses, Retail (100%)",1779775
ALABAMA,32.89513557,-86.97042651,50750,AL,11/05/2020,4E,1,1.2,Easing: Restaurant and Bar Indoor Service (100%) ,1779775
ALABAMA,32.6990852,-86.74930056,50750,AL,04/09/2021,15L,1,0.2,"Lifting: Mask Mandate, Indoor & Outdoor Spaces",1779775
ALASKA,61.00995596,-152.2641552,570641,AK,03/17/2020,4SM,2,1,Closing: Restaurants and Bars,1785533
ALASKA,61.66735812,-153.0056416,570641,AK,03/24/2020,3SM,2,1.9,"Restricting: Indoor Gathering Limit, 10 people",1785533
ALASKA,61.61262948,-151.5734036,570641,AK,03/26/2020,2SM,2,2.9,Closing: All Non-Essential Businesses,1785533
ALASKA,60.4954648,-152.9361026,570641,AK,03/28/2020,1SM,2,3.9,Restricting: Stay at Home Order,1785533
ALASKA,61.00995596,-152.2641552,570641,AK,04/24/2020,1L,2,2.3,Lifting: Stay at Home Order,1785533
ALASKA,61.66735812,-153.0056416,570641,AK,04/24/2020,2E,2,2.3,"Easing: Non-Essential Businesses, Retail; Hair; Personal Care; Gyms",1785533
ALASKA,60.61084511,-151.3697039,570641,AK,04/24/2020,4E,2,2.3,Easing: Restaurant Indoor Service (25%),1785533
ALASKA,61.61262948,-151.5734036,570641,AK,05/11/2020,2E,2,1.8,"Easing: Non-Essential Businesses, Retail; Hair; Personal Care; Gyms",1785533
ALASKA,61.22000404,-153.7918513,570641,AK,05/11/2020,4E,2,1.8,Easing: Restaurant Indoor Service (50%) and Bar Indoor Service (25%),1785533
ALASKA,60.4954648,-152.9361026,570641,AK,05/22/2020,2L,2,0,Lifting: All Non-Essential Businesses Restrictions,1785533
ALASKA,62.50974607,-152.6302642,570641,AK,05/22/2020,3L,2,0,Lifting: Indoor Gathering Limit,1785533
ALASKA,62.49680022,-151.4148432,570641,AK,05/22/2020,4L,2,0,Lifting: Restaurant & Bar Restrictions,1785533
ARIZONA,33.86213851,-111.6995226,113642,AZ,03/20/2020,2SM,4,1.5,"Closing: Non-Essential Businesses, Gyms; Entertainment",1779777
ARIZONA,33.8377153,-111.0603721,113642,AZ,03/20/2020,4SM,4,1.5,Closing: Restaurants and Bars,1779777
ARIZONA,34.23806254,-111.5320067,113642,AZ,03/31/2020,1SM,4,3,Restricting: Stay at Home Order,1779777
ARIZONA,33.39065903,-110.9694691,113642,AZ,03/31/2020,2SM,4,3,Closing: All Non-Essential Businesses,1779777
ARIZONA,33.86213851,-111.6995226,113642,AZ,05/04/2020,2E,4,2.65,"Easing: Non-Essential Businesses, Retail; Entertainment",1779777
ARIZONA,33.8377153,-111.0603721,113642,AZ,05/08/2020,2E,4,2.25,"Easing: Non-Essential Businesses, Hair Salons; Personal Care; Gyms",1779777
ARIZONA,33.39065903,-110.9694691,113642,AZ,05/11/2020,4E,4,1.55,Easing: Restaurants and Bars Indoor Service (50%),1779777
ARIZONA,33.56876623,-111.3686269,113642,AZ,05/15/2020,1L,4,0.55,Lifting: Stay at Home Order,1779777
ARIZONA,33.33916941,-111.6684901,113642,AZ,06/29/2020,2R,4,1.1,"Restricting: Non-Essential Businesses, Gyms; Entertainment",1779777
ARIZONA,33.66250228,-112.0503765,113642,AZ,06/29/2020,4R,4,1.1,Restricting: Bar Indoor Service Closes,1779777
ARIZONA,34.23806254,-111.5320067,113642,AZ,06/30/2020,3I,4,1.6,"Restricting: Indoor Gathering Limit, 50 people",1779777
ARIZONA,33.56876623,-111.3686269,113642,AZ,07/09/2020,4R,4,1.7,Restricting: Restaurant Indoor Service (<50%),1779777
ARIZONA,33.56876623,-111.3686269,113642,AZ,09/01/2020,4E,4,1.35,Easing: Bar Indoor Service (50%),1779777
ARIZONA,33.56876623,-111.3686269,113642,AZ,10/01/2020,2E,4,1.15,"Easing: Non-Essential Businesses, Gyms; Entertainment (~50%)",1779777
ARIZONA,33.56876623,-111.3686269,113642,AZ,12/02/2020,4E,4,1.15,Easing: Bar Outdoor Service Expands,1779777
ARIZONA,33.86213851,-111.6995226,113642,AZ,03/05/2021,2E,4,0.7,"Easing: Non-Essential Businesses, Gyms and Entertainment (100%)",1779777
ARIZONA,33.8377153,-111.0603721,113642,AZ,03/05/2021,4E,4,0.7,Easing: Restaurant and Bar Indoor Service (100%),1779777
ARIZONA,33.33916941,-111.6684901,113642,AZ,03/25/2021,2L,4,0.55,Lifting: All Non-Essential Businesses Restrictions,1779777
ARIZONA,33.729759,-111.431221,113642,AZ,03/25/2021,3L,4,0.05,Lifting: Indoor Gathering Limit,1779777
ARKANSAS,34.8607228,-92.33075103,52075,AR,03/20/2020,4SM,5,1,Closing: Restaurants and Bars,68085
ARKANSAS,34.8607228,-92.33075103,52075,AR,03/24/2020,3SM,5,1.9,"Restricting: Indoor Gathering Limit, 10 people",68085
ARKANSAS,34.8607228,-92.33075103,52075,AR,04/04/2020,2SM,5,2.9,Closing: All Non-Essential Businesses,68085
