STATE,STUSAB,DATE,LATITUDE,LONGITUDE,POPULATION,NEWCONFIRMED,CUMCONFIRMED,NEWDEATHS,CUMDEATHS,STATEFP,GNISID,UID,CODE3
ALABAMA,AL,01/23/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,01/24/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,01/25/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,01/26/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,01/27/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,01/28/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,01/29/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,01/30/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,01/31/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/01/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/02/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/03/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/04/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/05/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/06/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/07/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/08/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/09/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/10/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/11/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/12/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/13/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/14/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/15/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/16/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/17/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/18/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/19/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/20/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/21/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/22/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/23/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/24/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/25/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/26/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/27/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/28/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,02/29/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,03/01/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,03/02/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,03/03/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,03/04/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,03/05/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
ALABAMA,AL,03/06/2020,32.806671,-86.79113,4951876,0,0,0,0,1,1779775,5796241491,57960
